,steps,reward1,reward2,reward3
615,123200.0,3.5000000000000004,11.75,11.5
616,123400.0,5.25,11.75,11.75
617,123600.0,2.25,13.25,10.25
618,123800.0,6.75,11.75,8.5
619,124000.0,6.75,13.25,10.0
620,124200.0,1.7500000000000002,11.5,11.5
621,124400.0,2.25,11.5,11.75
622,124600.0,3.5000000000000004,10.25,10.25
623,124800.0,1.7500000000000002,11.75,10.25
624,125000.0,3.75,11.5,10.25
625,125200.0,8.75,10.25,8.75
626,125400.0,5.25,11.75,11.75
627,125600.0,5.0,10.25,11.5
628,125800.0,1.7500000000000002,14.75,11.5
629,126000.0,2.25,11.75,11.5
630,126200.0,5.0,11.75,10.25
631,126400.0,3.5000000000000004,11.75,11.5
632,126600.0,5.0,11.5,8.75
633,126800.0,2.0,13.5,11.5
634,127000.0,3.75,11.5,11.75
635,127200.0,5.25,8.25,10.0
636,127400.0,2.0,11.75,10.25
637,127600.0,2.25,11.5,11.5
638,127800.0,5.5,11.5,10.25
639,128000.0,0.5,12.0,10.25
640,128200.0,5.0,12.0,10.0
641,128400.0,6.75,11.75,10.25
642,128600.0,5.0,11.75,11.75
643,128800.0,3.75,13.5,10.25
644,129000.0,2.25,11.75,10.25
645,129200.0,3.5000000000000004,11.5,8.75
646,129400.0,5.5,11.5,10.25
647,129600.0,6.75,13.25,8.75
648,129800.0,5.25,13.5,10.25
649,130000.0,3.75,12.0,11.5
650,130200.0,2.0,11.5,11.5
651,130400.0,2.0,10.0,10.25
652,130600.0,2.25,10.25,11.5
653,130800.0,3.75,13.25,11.75
654,131000.0,8.5,11.5,8.75
655,131200.0,2.25,12.0,10.0
656,131400.0,3.5000000000000004,11.5,10.0
657,131600.0,8.5,10.25,10.25
658,131800.0,6.75,11.5,8.75
659,132000.0,5.5,10.25,11.5
660,132200.0,3.5000000000000004,10.0,10.25
661,132400.0,2.25,13.25,11.75
662,132600.0,8.5,13.25,8.75
663,132800.0,5.0,12.0,11.5
664,133000.0,5.25,11.75,11.5
665,133200.0,6.75,11.5,11.5
666,133400.0,5.5,12.0,8.75
667,133600.0,5.5,11.5,10.0
668,133800.0,2.25,11.5,11.75
669,134000.0,1.7500000000000002,10.25,11.75
670,134200.0,5.25,10.0,8.5
671,134400.0,3.5000000000000004,11.5,10.0
672,134600.0,3.75,11.75,10.0
673,134800.0,2.0,11.5,10.25
674,135000.0,2.25,13.25,10.25
675,135200.0,2.25,11.75,8.75
676,135400.0,7.000000000000001,10.25,11.5
677,135600.0,6.75,10.0,10.0
678,135800.0,5.25,11.5,11.75
679,136000.0,3.75,11.75,11.75
680,136200.0,5.0,12.0,11.75
681,136400.0,3.75,12.0,8.25
682,136600.0,3.5000000000000004,13.25,8.75
683,136800.0,2.0,12.0,10.0
684,137000.0,5.5,12.0,8.75
685,137200.0,5.0,11.75,10.25
686,137400.0,3.75,11.75,11.5
687,137600.0,5.25,13.25,11.5
688,137800.0,2.0,10.25,11.75
689,138000.0,5.25,11.5,10.25
690,138200.0,5.5,14.75,11.5
691,138400.0,3.5000000000000004,12.0,11.75
692,138600.0,5.25,11.75,10.25
